0.22,0.29667,0.21667,0.013333,0.236,0.222,0.38,0.64,0.13889,0.2,0.76604,0,0.64279,0
0.22,0.29333,0.22,0.01,0.184,0.194,0.38,0.65,0.78611,0.2,0,0.97437,0.22495,0
0.27,0.27,0.20333,0.01,0.188,0.204,0.46,0.4,0.13889,0.4,0.76604,0,0.64279,0
0.33,0.25667,0.20667,0.01,0.208,0.208,0.52,0.28,0.10556,0.4,0.61566,0,0.78801,0
0.28,0.21333,0.17667,0.013333,0.152,0.15,0.52,0.28,0.077778,0.4,0.46947,0,0.88295,0
0.17,0.17667,0.11667,0.0066667,0.1,0.102,0.5,0.31,0.15833,0.2,0.83867,0,0.54464,0
0.18,0.17667,0.12667,0.026667,0.112,0.112,0.46,0.37,0.20833,0.2,0.96593,0,0.25882,0
0.22,0.18333,0.14,0.03,0.106,0.094,0.48,0.32,0.21667,0.2,0.97815,0,0.20791,0
0.22,0.17667,0.14,0.01,0.11,0.094,0.5,0.3,0.18333,0.2,0.91355,0,0.40674,0
0.3,0.18667,0.15667,0.013333,0.2,0.162,0.56,0.26,0.14722,0.4,0.79864,0,0.60182,0
0.28,0.17667,0.11,0.026667,0.228,0.172,0.6,0.22,0.16389,0.4,0.85717,0,0.51504,0
0.18,0.14667,0.076667,0.043333,0.154,0.116,0.62,0.21,0.19167,0.4,0.93358,0,0.35837,0
0.14,0.1,0.053333,0.073333,0.102,0.084,0.66,0.19,0.10556,0.4,0.61566,0,0.78801,0
0.13,0.08,0.053333,0.13,0.086,0.074,0.68,0.18,0.125,0.4,0.70711,0,0.70711,0
0.12,0.07,0.05,0.16333,0.066,0.054,0.68,0.17,0.14444,0.4,0.78801,0,0.61566,0
0.12,0.083333,0.05,0.17333,0.072,0.052,0.7,0.18,0.22778,0.2,0.99027,0,0.13917,0
0.23,0.30333,0.11333,0.17,0.25,0.184,0.68,0.18,0.43056,0.2,0.42262,0,0,0.90631
0.21,0.32667,0.12667,0.1,0.236,0.194,0.58,0.3,0.725,0.2,0,0.98769,0,0.15643
0.26,0.36333,0.18667,0.07,0.322,0.284,0.52,0.39,0.78333,0.2,0,0.97815,0.20791,0
0.26,0.31,0.22333,0.02,0.306,0.318,0.46,0.49,0.75278,0.2,0,0.99985,0.017452,0
0.23,0.28,0.19,0.05,0.266,0.274,0.46,0.52,0.79167,0.2,0,0.96593,0.25882,0
0.28,0.28,0.21667,0.053333,0.256,0.258,0.44,0.56,0.46944,0.2,0.19081,0,0,0.98163
0.28,0.28,0.21667,0.026667,0.256,0.258,0.42,0.6,0.77778,0.2,0,0.98481,0.17365,0
0.27,0.27,0.21667,0.026667,0.236,0.252,0.4,0.66,0.8,0.2,0,0.95106,0.30902,0
0.26,0.27333,0.2,0.02,0.214,0.216,0.4,0.66,0.80278,0.2,0,0.94552,0.32557,0
0.26,0.25667,0.17333,0.013333,0.188,0.202,0.4,0.63,0.79722,0.2,0,0.9563,0.29237,0
0.21,0.24,0.17667,0.013333,0.156,0.16,0.38,0.63,0.77222,0.2,0,0.99027,0.13917,0
0.21,0.24,0.17667,0.01,0.156,0.16,0.38,0.63,0.77222,0.2,0,0.99027,0.13917,0
0.21,0.19667,0.15,0.01,0.138,0.16,0.38,0.67,0.71111,0.2,0,0.9703,0,0.24192
0.17,0.19667,0.13,0.01,0.07,0.108,0.36,0.69,0.51389,0.2,0,0.087156,0,0.99619
0.17,0.16667,0.13,0.013333,0.064,0.06,0.36,0.69,0.725,0.2,0,0.98769,0,0.15643
0.16,0.15333,0.13667,0.023333,0.078,0.092,0.36,0.72,0,0,0,0,1,0
0.17,0.15,0.15333,0.026667,0.084,0.09,0.38,0.7,0.74167,0.2,0,0.99863,0,0.052336
0.18,0.16667,0.17333,0.026667,0.132,0.1,0.46,0.62,0.76389,0.2,0,0.99619,0.087156,0
0.4,0.27,0.21,0.033333,0.214,0.176,0.58,0.28,0.16111,0.2,0.84805,0,0.52992,0
0.45,0.31,0.22,0.023333,0.264,0.24,0.62,0.24,0.14722,0.2,0.79864,0,0.60182,0
1,0.39333,0.23333,0.026667,0.346,0.332,0.64,0.23,0.75556,0.2,0,0.99939,0.034899,0
1,0.39333,0.23333,0.04,0.346,0.332,0.66,0.22,0.74167,0.4,0,0.99863,0,0.052336
0.25,0.37,0.2,0.08,0.342,0.332,0.64,0.25,0.66667,0.4,0,0.86603,0,0.5
0.25,0.37,0.2,0.056667,0.342,0.332,0.64,0.25,0.71111,0.2,0,0.9703,0,0.24192
0.25,0.4,0.23667,0.06,0.4,0.402,0.62,0.28,0.59722,0.2,0,0.57358,0,0.81915
0.25,0.4,0.23667,0.036667,0.4,0.402,0.52,0.44,0.79167,0.2,0,0.96593,0.25882,0
0.26,0.41333,0.25333,0.013333,0.426,0.42,0.48,0.49,0.78333,0.2,0,0.97815,0.20791,0
0.27,0.43,0.27667,0.01,0.468,0.404,0.46,0.58,0.74722,0.2,0,0.99985,0,0.017452
0.26,0.39,0.28333,0.0066667,0.364,0.338,0.46,0.61,0.73056,0.2,0,0.99255,0,0.12187
0.27,0.32667,0.25667,0.0066667,0.306,0.272,0.44,0.61,0.67222,0.2,0,0.88295,0,0.46947
0.2,0.26667,0.21333,0.0066667,0.234,0.232,0.46,0.55,0.86667,0.2,0,0.74314,0.66913,0
0.23,0.24333,0.20667,0.0066667,0.224,0.188,0.5,0.44,0.20278,0.2,0.9563,0,0.29237,0
0.22,0.22667,0.18667,0.0066667,0.184,0.16,0.52,0.35,0.24444,0.2,0.99939,0,0.034899,0
0.26,0.20667,0.26333,0.0066667,0.196,0.154,0.56,0.32,0.25,0.4,1,0,0,-0
0.26,0.20667,0.26333,0.0066667,0.196,0.154,0.54,0.5,0.21389,0.4,0.97437,0,0.22495,0
0.34,0.22667,0.28333,0.0066667,0.258,0.21,0.52,0.48,0.055556,0.2,0.34202,0,0.93969,0
0.28,0.21333,0.24667,0.0066667,0.152,0.192,0.52,0.41,0.094444,0.4,0.55919,0,0.82904,0
0.28,0.21333,0.24667,0.0033333,0.152,0.192,0.5,0.39,0.21111,0.2,0.9703,0,0.24192,0
0.29,0.20333,0.15,0.0033333,0.118,0.172,0.52,0.33,0.11667,0.4,0.66913,0,0.74314,0
0.12,0.16333,0.15,0.0033333,0.118,0.088,0.5,0.33,0.086111,0.4,0.51504,0,0.85717,0
0.12,0.15,0.15667,0.0066667,0.13,0.08,0.5,0.32,0.094444,0.4,0.55919,0,0.82904,0
0.19,0.14,0.13,0.016667,0.21,0.14,0.52,0.27,0.025,0.6,0.15643,0,0.98769,0
0.04,0.04,0.063333,0.04,0.064,0.03,0.54,0.23,0.088889,0.4,0.52992,0,0.84805,0
0.04,0.04,0.063333,0.12,0.064,0.03,0.56,0.22,0.88333,0.4,0,0.66913,0.74314,0
0.04,0.043333,0.063333,0.15667,0.046,0.032,0.58,0.19,0.11667,0.4,0.66913,0,0.74314,0
0.04,0.043333,0.043333,0.16667,0.038,0.028,0.58,0.19,0.99722,0.4,0,0.017452,0.99985,0
0.04,0.033333,0.043333,0.18667,0.038,0.028,0.6,0.18,0.12222,0.4,0.69466,0,0.71934,0
0.03,0.03,0.03,0.18667,0.038,0.016,0.6,0.17,0.16111,0.4,0.84805,0,0.52992,0
0.04,0.05,0.03,0.20333,0.052,0.024,0.6,0.17,0.25278,0.2,0.99985,0,0,0.017452
0.05,0.1,0.053333,0.17333,0.082,0.04,0.54,0.23,0.61667,0.2,0,0.66913,0,0.74314
0.09,0.17667,0.09,0.11,0.148,0.076,0.48,0.32,0.65833,0.2,0,0.83867,0,0.54464
0.13,0.2,0.12667,0.026667,0.21,0.126,0.52,0.27,0.57778,0.4,0,0.46947,0,0.88295
0.17,0.20667,0.16333,0.013333,0.246,0.166,0.46,0.36,0.46111,0.2,0.24192,0,0,0.9703
0.19,0.20333,0.17,0.013333,0.282,0.194,0.42,0.51,0.46944,0.2,0.19081,0,0,0.98163
0.18,0.2,0.16333,0.01,0.25,0.176,0.44,0.47,0.54722,0.2,0,0.29237,0,0.9563
0.2,0.18667,0.15,0.01,0.254,0.188,0.46,0.45,0.61944,0.2,0,0.682,0,0.73135
0.19,0.18333,0.14333,0.0066667,0.236,0.172,0.42,0.49,0.46944,0.4,0.19081,0,0,0.98163
0.17,0.16,0.11667,0.01,0.202,0.162,0.42,0.55,0.73611,0.2,0,0.99619,0,0.087156
0.17,0.16,0.11667,0.01,0.202,0.162,0.4,0.6,0.81389,0.2,0,0.9205,0.39073,0
0.16,0.14,0.083333,0.0066667,0.164,0.132,0.38,0.7,0.63333,0.2,0,0.74314,0,0.66913
0.17,0.14333,0.09,0.0033333,0.16,0.132,0.36,0.7,0,0.2,0,0,1,0
0.14,0.12667,0.066667,0.0066667,0.126,0.11,0.36,0.71,0.83056,0.2,0,0.87462,0.48481,0
0.13,0.13333,0.076667,0.0066667,0.13,0.114,0.36,0.75,0.75833,0.2,0,0.99863,0.052336,0
0.17,0.13667,0.08,0.0066667,0.162,0.132,0.32,0.74,0.072222,0.2,0.43837,0,0.89879,0
0.22,0.14667,0.14333,0.0066667,0.202,0.172,0.32,0.79,0.76667,0.2,0,0.99452,0.10453,0
0.24,0.16,0.16,0.01,0.204,0.188,0.42,0.58,0.76667,0.2,0,0.99452,0.10453,0
0.28,0.19,0.17,0.013333,0.228,0.2,0.48,0.4,0.62222,0.2,0,0.69466,0,0.71934
0.2,0.19333,0.23667,0.023333,0.544,0.326,0.54,0.32,0.22222,0.2,0.98481,0,0.17365,0
0.26,0.27333,0.23333,0.046667,0.544,0.326,0.56,0.31,0.75278,0.2,0,0.99985,0.017452,0
